id,name
2f117119-5cf7-42d2-884a-63653f2dd5b8,Bruce Lee
e84d89b1-4557-4a72-aaf7-90edea52a192,Eminem
ae0dc866-b246-40b1-bef0-62bef6a65bde,Hugh Laurie
428dacd2-4581-43be-ae25-33c452b2a585,Johnny Depp
a1c4330a-5f59-4271-ba4f-07b23f05b7e7,Jennifer Aniston
a6b57d2a-8f86-4697-987b-bd7a7e758b42,Scarlett Johansson
0074d48d-6a07-4060-b981-4b7cef5a35aa,Kate Moss
c396a93c-e78b-48a8-8e21-8c59dafd0aa4,Keith Richards
cfc12ee8-af94-4424-b177-ecf54080abfa,Bob Marley
70e328c4-44d0-4470-a6ed-506d1f8bde56,Bouddha
1ca86d2b-7eff-4184-b2b0-46f636613639,Stephen King
6034b6b6-0222-4e8c-a236-2a6e5ca84a8e,Plato
8f8a2ffb-3f5c-4e13-b774-a66cd3affaa7,Socrate
